,user,Tweet,Time
104,caliophe20,"RT @anews: Parents in #Mariupol, #Ukraine are struggling to find the words to explain to their children why Ukraine is being attacked. 

#c…",2022-06-23 08:50:23+00:00
105,TonyKen69354734,"To every fool that thinks our Political Class suddenly reacted to #Putin's ""unprecedented aggression"", think again.

Adam #Schiff justified impeachment because #Trump was an obstacle to our proxy war w/ #Russia. The ""bad phone call"" served as a cover.

#Ukraine #Russians #war https://t.co/VHqBN8JC8g",2022-06-23 08:48:39+00:00
106,sabi_ri,"ich habe mich entschlossen, diesen thread zu schützen-aus gründen_
ich habe keine lust mit #putintroll|en - dazu zähle ich auch #NoAfD-trolle - zu diskutieren, dass 1+1=2 im dezimalsystem.
einzig #putin hat die schuld an dem #völkermord in der #ukraine &amp; der #alarmstufe.",2022-06-23 08:47:51+00:00
107,ANiklaus4,"@dpa_live @dpa @pznews Sicherlich muss der Einmarsch der russischen Truppen gestoppt werden, das müssen jedoch ukrainisch und russische Arbeiter umsetzen um dann die #NATO, bzw seinen Ableger #Zelenskij und #Putin abzuurteilen. Währendessen in der #Ukraine https://t.co/bs01M9XmK0",2022-06-23 08:44:37+00:00
108,RausMatrix,RT @hechtwanderer: Wenn ich König von 🇩🇪 wäre: würde ich mit Hr #Putin und Hr #Biden Gespräche führen. #Nordstream2 Aktivierung und #USA dü…,2022-06-23 08:44:36+00:00
109,TheAccountantUK,RT @UxbEconomist07: Quick reminder of US #Inflation path approaching #Ukraine War. Some r asking why Joe #Biden is a able to blame #Putin &amp;…,2022-06-23 08:44:35+00:00
110,rahan_e,"RT @rahan_e: La #Russie c'est aussi une séries de défaites militaires : #Guerre russo-japonaise, première guerre mondiale, Afghanistan, la…",2022-06-23 08:44:00+00:00
111,Bernd_Schulyok,"#RussiaUkraineWar
#Österreich #Gas-Lieferungen aus #Russland
Klar, kein Problem. Bei 80% Abhängigkeit von #Russland zahlen wir brav weiter € 600 Mill/ Monat in #Putin|s #Kriegskassa
Verfehlte ""aktive"" #Neutralität|spolitik der letzten Jahrzehnte
#Ukraine € 75 Mill Unterstützung https://t.co/4qilcNyFIj",2022-06-23 08:43:02+00:00
112,mac_speedie,"RT @wolff_ernst: Wer meint, dass wir keinen 3.#Weltkrieg befürchten müssen, sollte sich die 44 #Eskalationsstufen von Herman #Kahn, dem wic…",2022-06-23 08:43:01+00:00
113,Lx121,"@b_chshevik @EyyRadioFree @gobloid3 3 things: 1.on the same index RUSSIA IS WORSE. 2. #ukraine is improving, LONGTERM trend. 3. in #PUTIN's #russia such #independent #international #ngo organisations &amp; #reporting ARE NOT ALLOWED TO EXIST. #especially during the #UkraineWar :P",2022-06-23 08:42:05+00:00
